"","entrezgene","uniprotswissprot","ensembl_gene_id","external_gene_name","description"
"236",31722,"P13709","FBgn0004656","fs(1)h","female sterile (1) homeotic [Source:FlyBase;Acc:FBgn0004656]"
"237",26067058,"","FBgn0267648","pre-mod(mdg4)-G",""
"238",34876,"Q9V3N8","FBgn0283659","THG","tRNA-histidine guanylyltransferase [Source:FlyBase;Acc:FBgn0283659]"
"239",37397,"Q7KVQ0","FBgn0011824","CG4038",""
"240",35685,"","FBgn0033187","PIG-G","Phosphatidylinositol glycan anchor biosynthesis class G [Source:FlyBase;Acc:FBgn0033187]"
"241",37153,"","FBgn0034377","CG15071",""
"242",40604,"","FBgn0037284","CG14659",""
"243",34996,"P84029","FBgn0284248","Cyt-c-p","Cytochrome c proximal [Source:FlyBase;Acc:FBgn0284248]"
"244",43557,"","FBgn0039733","CG11504",""
"245",34450,"","FBgn0032264","Lip4","Lipase 4 [Source:FlyBase;Acc:FBgn0032264]"
"246",50147,"","FBgn0040674","CG9445",""
"247",31602,"","FBgn0029887","CG3198",""
"248",19836116,"","FBgn0266434","CG45064",""
"249",117498,"P58953","FBgn0045497","Gr22e","Gustatory receptor 22e [Source:FlyBase;Acc:FBgn0045497]"
"250",39465,"","FBgn0036323","CG14118",""
"251",38001,"","FBgn0265434","zip","zipper [Source:FlyBase;Acc:FBgn0265434]"
"252",38001,"Q99323","FBgn0265434","zip","zipper [Source:FlyBase;Acc:FBgn0265434]"
"253",41789,"","FBgn0038260","CG14855",""
"254",33751,"","FBgn0250847","CG14034",""
"255",37434,"Q9W2H9","FBgn0034617","Panx","Panoramix [Source:FlyBase;Acc:FBgn0034617]"
"256",35071,"Q9VJB6","FBgn0262018","CadN2","Cadherin-N2 [Source:FlyBase;Acc:FBgn0262018]"
"257",33973,"","FBgn0031873","Gas41",""
"258",34576,"","FBgn0032366","CG14930",""
"259",38190,"","FBgn0035241","CG12105",""
"260",37300,"O96863","FBgn0026136","CkIIbeta2","Casein kinase II beta2 subunit [Source:FlyBase;Acc:FBgn0026136]"
"261",318096,"","FBgn0052579","CG32579",""
"262",39505,"Q9VU68","FBgn0260049","flr","flare [Source:FlyBase;Acc:FBgn0260049]"
"263",39505,"","FBgn0260049","flr","flare [Source:FlyBase;Acc:FBgn0260049]"
"264",33109,"","FBgn0015558","tty","tweety [Source:FlyBase;Acc:FBgn0015558]"
"265",33109,"Q9U6L4","FBgn0015558","tty","tweety [Source:FlyBase;Acc:FBgn0015558]"
"266",48317,"P17789","FBgn0003870","ttk","tramtrack [Source:FlyBase;Acc:FBgn0003870]"
"267",48317,"P42282","FBgn0003870","ttk","tramtrack [Source:FlyBase;Acc:FBgn0003870]"
"268",43384,"Q9VAU9","FBgn0026400","Noa36",""
"269",318838,"","FBgn0053061","CG33061",""
"270",43628,"","FBgn0039783","PH4alphaNE2","prolyl-4-hydroxylase-alpha NE2 [Source:FlyBase;Acc:FBgn0039783]"
"271",37038,"","FBgn0259211","grh","grainy head [Source:FlyBase;Acc:FBgn0259211]"
"272",37038,"P13002","FBgn0259211","grh","grainy head [Source:FlyBase;Acc:FBgn0259211]"
"273",43001,"","FBgn0051109","CG31109",""
"274",42987,"","FBgn0039254","Nmnat","Nicotinamide mononucleotide adenylyltransferase [Source:FlyBase;Acc:FBgn0039254]"
"275",34045,"","FBgn0041181","Tep3","Thioester-containing protein 3 [Source:FlyBase;Acc:FBgn0041181]"
"276",39244,"Q9VTE9","FBgn0261112","APP-BP1","beta-Amyloid precursor protein binding protein 1 [Source:FlyBase;Acc:FBgn0261112]"
"277",37886,"","FBgn0005636","nvy","nervy [Source:FlyBase;Acc:FBgn0005636]"
"278",45910,"","FBgn0003011","ort","ora transientless [Source:FlyBase;Acc:FBgn0003011]"
"279",43622,"","FBgn0039778","Jon99Fi","Jonah 99Fi [Source:FlyBase;Acc:FBgn0039778]"
"280",32471,"Q27580","FBgn0014455","Ahcy","Adenosylhomocysteinase [Source:FlyBase;Acc:FBgn0014455]"
"281",32471,"","FBgn0014455","Ahcy","Adenosylhomocysteinase [Source:FlyBase;Acc:FBgn0014455]"
"282",32308,"","FBgn0030493","CG15756",""
"283",42883,"Q9VCB1","FBgn0039170","CG13609",""
"284",33592,"","FBgn0031561","IM33","Immune induced molecule 33 [Source:FlyBase;Acc:FBgn0031561]"
"285",40019,"","FBgn0036789","AstC-R2","Allatostatin C receptor 2 [Source:FlyBase;Acc:FBgn0036789]"
"286",34800,"","FBgn0028534","CG7916",""
"287",318859,"","FBgn0051626","CG31626",""
"288",32977,"","FBgn0031057","Ubqn","Ubiquilin [Source:FlyBase;Acc:FBgn0031057]"
"289",33411,"","FBgn0031410","CG17237",""
"290",41346,"Q9VGR7","FBgn0037878","CG6693",""
"291",36469,"","FBgn0033818","CG4712",""
"292",32276,"","FBgn0030462","CG15742",""
"293",33051,"","FBgn0259162","RunxB","Runt related B [Source:FlyBase;Acc:FBgn0259162]"
"294",192535,"","FBgn0043806","CG32032",""
"295",318970,"","FBgn0051832","CG31832",""
"296",2768833,"","FBgn0053468","CG33468",""
"297",32132,"","FBgn0000259","CkIIbeta","Casein kinase II beta subunit [Source:FlyBase;Acc:FBgn0000259]"
"298",32132,"P08182","FBgn0000259","CkIIbeta","Casein kinase II beta subunit [Source:FlyBase;Acc:FBgn0000259]"
"299",10178943,"","FBgn0261581","CG42691",""
"300",39896,"","FBgn0036679","CG13022",""
"301",44672,"","FBgn0017581","Lk6","Lk6 kinase [Source:FlyBase;Acc:FBgn0017581]"
"302",43006,"","FBgn0039271","CG11839",""
"303",41568,"","FBgn0038079","NijC","Ninjurin C [Source:FlyBase;Acc:FBgn0038079]"
"304",42366,"","FBgn0014006","Ask1","Apoptotic signal-regulating kinase 1 [Source:FlyBase;Acc:FBgn0014006]"
"305",40449,"","FBgn0037150","CG7133",""
"306",32079,"","FBgn0030294","Pa1","PTIP associated 1 [Source:FlyBase;Acc:FBgn0030294]"
"307",39142,"","FBgn0036039","Naa60","N(alpha)-acetyltransferase 60 [Source:FlyBase;Acc:FBgn0036039]"
"308",39142,"Q95SX8","FBgn0036039","Naa60","N(alpha)-acetyltransferase 60 [Source:FlyBase;Acc:FBgn0036039]"
"309",32624,"Q27889","FBgn0011826","Pp2B-14D","Protein phosphatase 2B at 14D [Source:FlyBase;Acc:FBgn0011826]"
"310",38848,"","FBgn0052374","CG32374",""
"311",31335,"Q86DS1","FBgn0029676","HIP-R","Hsc/Hsp70-interacting protein related [Source:FlyBase;Acc:FBgn0029676]"
"312",318211,"Q86DS1","FBgn0029676","HIP-R","Hsc/Hsp70-interacting protein related [Source:FlyBase;Acc:FBgn0029676]"
"313",31335,"C4NYP8","FBgn0029676","HIP-R","Hsc/Hsp70-interacting protein related [Source:FlyBase;Acc:FBgn0029676]"
"314",318211,"C4NYP8","FBgn0029676","HIP-R","Hsc/Hsp70-interacting protein related [Source:FlyBase;Acc:FBgn0029676]"
"315",33381,"P81911","FBgn0026396","Or22c","Odorant receptor 22c [Source:FlyBase;Acc:FBgn0026396]"
"316",2768661,"","FBgn0037475","Fer1","48 related 1 [Source:FlyBase;Acc:FBgn0037475]"
"317",7354433,"","FBgn0259714","DIP-epsilon","Dpr-interacting protein epsilon [Source:FlyBase;Acc:FBgn0259714]"
"318",3772276,"P02283","FBgn0053886","His2B:CG33886",""
"319",3772575,"P02283","FBgn0053886","His2B:CG33886",""
"320",3771809,"P02283","FBgn0053886","His2B:CG33886",""
"321",3772271,"P02283","FBgn0053886","His2B:CG33886",""
"322",3772099,"P02283","FBgn0053886","His2B:CG33886",""
"323",3772248,"P02283","FBgn0053886","His2B:CG33886",""
"324",3772081,"P02283","FBgn0053886","His2B:CG33886",""
"325",3772203,"P02283","FBgn0053886","His2B:CG33886",""
"326",3772058,"P02283","FBgn0053886","His2B:CG33886",""
"327",3771891,"P02283","FBgn0053886","His2B:CG33886",""
"328",3772336,"P02283","FBgn0053886","His2B:CG33886",""
"329",3772104,"P02283","FBgn0053886","His2B:CG33886",""
"330",3772013,"P02283","FBgn0053886","His2B:CG33886",""
"331",3772265,"P02283","FBgn0053886","His2B:CG33886",""
"332",3772299,"P02283","FBgn0053886","His2B:CG33886",""
"333",3772083,"P02283","FBgn0053886","His2B:CG33886",""
"334",326273,"P02283","FBgn0053886","His2B:CG33886",""
"335",3771957,"P02283","FBgn0053886","His2B:CG33886",""
"336",3772496,"P02283","FBgn0053886","His2B:CG33886",""
"337",3772502,"P02283","FBgn0053886","His2B:CG33886",""
"338",3772094,"P02283","FBgn0053886","His2B:CG33886",""
"339",3772166,"P02283","FBgn0053886","His2B:CG33886",""
"340",3772264,"P02283","FBgn0053886","His2B:CG33886",""
"341",326193,"Q8T8L8","FBgn0052076","Alg10","Alpha 3 glucosyltransferase [Source:FlyBase;Acc:FBgn0052076]"
"342",47877,"P36872","FBgn0004889","tws","twins [Source:FlyBase;Acc:FBgn0004889]"
"343",47877,"","FBgn0004889","tws","twins [Source:FlyBase;Acc:FBgn0004889]"
"344",36361,"","FBgn0033738","DUBAI","Deubiquitinating apoptotic inhibitor [Source:FlyBase;Acc:FBgn0033738]"
"345",3772658,"","FBgn0064126","CG33722",""
"346",36373,"","FBgn0033749","achi","achintya [Source:FlyBase;Acc:FBgn0033749]"
"347",36953,"","FBgn0022029","l(2)k01209","lethal (2) k01209 [Source:FlyBase;Acc:FBgn0022029]"
"348",37022,"","FBgn0034272","Ir54a","Ionotropic receptor 54a [Source:FlyBase;Acc:FBgn0034272]"
"349",42811,"Q9VCI0","FBgn0039115","CG10214",""
"350",37176,"A1ZBE8","FBgn0034400","CG15099",""
