"","entrezgene","uniprot_gn","ensembl_gene_id","external_gene_name","description"
"121",NA,"","ENSPTRG00000026810","RF00100","RNA, 7SK small nuclear pseudogene 292 [Source:HGNC Symbol;Acc:HGNC:46016]"
"122",NA,"","ENSPTRG00000043692","RF00066","RNA, U7 small nuclear 35 pseudogene [Source:HGNC Symbol;Acc:HGNC:34131]"
"123",NA,"","ENSPTRG00000051655","RF00001","RNA, 5S ribosomal pseudogene 500 [Source:HGNC Symbol;Acc:HGNC:43400]"
"124",NA,"","ENSPTRG00000034700","RF00619","RNA, U6atac small nuclear 34, pseudogene [Source:HGNC Symbol;Acc:HGNC:46933]"
"125",451837,"K7DC73","ENSPTRG00000004839","PPHLN1","periphilin 1 [Source:VGNC Symbol;Acc:VGNC:5540]"
"126",NA,"","ENSPTRG00000050306","",""
"127",NA,"","ENSPTRG00000052704","",""
"128",107972754,"K7CY39","ENSPTRG00000046012","BCOR",""
"129",NA,"","ENSPTRG00000041189","RF00017","RNA, 7SL, cytoplasmic 567, pseudogene [Source:HGNC Symbol;Acc:HGNC:46583]"
"130",NA,"","ENSPTRG00000027591","ptr-mir-182","ptr-mir-182 [Source:miRBase;Acc:MI0008558]"
"131",NA,"","ENSPTRG00000036998","RF00066","RNA, U7 small nuclear 141 pseudogene [Source:HGNC Symbol;Acc:HGNC:45675]"
"132",NA,"","ENSPTRG00000013838","KRTAP22-1","keratin associated protein 22-1 [Source:HGNC Symbol;Acc:HGNC:18947]"
"133",NA,"","ENSPTRG00000027366","RF00001","RNA, 5S ribosomal pseudogene 172 [Source:HGNC Symbol;Acc:HGNC:43072]"
"134",NA,"","ENSPTRG00000033342","RF00191",""
"135",NA,"","ENSPTRG00000043846","",""
"136",NA,"","ENSPTRG00000035472","RF00100","RNA, 7SK small nuclear pseudogene 58 [Source:HGNC Symbol;Acc:HGNC:45782]"
"137",NA,"","ENSPTRG00000051202","RF00001",""
"138",NA,"","ENSPTRG00000049829","",""
"139",107971071,"","ENSPTRG00000048113","MPC1L","mitochondrial pyruvate carrier 1 like [Source:HGNC Symbol;Acc:HGNC:44205]"
"140",NA,"","ENSPTRG00000043741","MIR4686","microRNA 4686 [Source:HGNC Symbol;Acc:HGNC:41601]"
"141",NA,"","ENSPTRG00000038702","RF00017","RNA, 7SL, cytoplasmic 291, pseudogene [Source:HGNC Symbol;Acc:HGNC:46307]"
"142",NA,"","ENSPTRG00000033360","RF00001",""
"143",NA,"","ENSPTRG00000049579","",""
"144",NA,"","ENSPTRG00000025847","RF00191","small nucleolar RNA, H/ACA box 57 [Source:HGNC Symbol;Acc:HGNC:32651]"
"145",NA,"","ENSPTRG00000038333","RF00100","RNA, 7SK small nuclear pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:45735]"
"146",NA,"","ENSPTRG00000037863","RF00066","RNA, U7 small nuclear 87 pseudogene [Source:HGNC Symbol;Acc:HGNC:42616]"
"147",NA,"","ENSPTRG00000025391","RF00001","RNA, 5S ribosomal pseudogene 321 [Source:HGNC Symbol;Acc:HGNC:43221]"
"148",NA,"","ENSPTRG00000035259","ptr-mir-1258","ptr-mir-1258 [Source:miRBase;Acc:MI0008462]"
"149",NA,"","ENSPTRG00000043708","RF00017",""
"150",NA,"","ENSPTRG00000045304","",""
"151",NA,"","ENSPTRG00000050793","RF00105","small nucleolar RNA, C/D box 115-8 [Source:HGNC Symbol;Acc:HGNC:33027]"
"152",NA,"","ENSPTRG00000047449","",""
"153",NA,"","ENSPTRG00000043321","RF02186",""
"154",NA,"","ENSPTRG00000035798","RF00100","RNA, 7SK small nuclear pseudogene 107 [Source:HGNC Symbol;Acc:HGNC:45831]"
"155",107974343,"","ENSPTRG00000049634","RNF223","ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]"
"156",NA,"","ENSPTRG00000027147","RF00001","RNA, 5S ribosomal pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42604]"
"157",NA,"","ENSPTRG00000026187","RF00001","RNA, 5S ribosomal pseudogene 387 [Source:HGNC Symbol;Acc:HGNC:43287]"
"158",NA,"","ENSPTRG00000052626","",""
"159",NA,"","ENSPTRG00000037443","",""
"160",NA,"","ENSPTRG00000044283","RF00017",""
"161",NA,"","ENSPTRG00000051239","",""
"162",NA,"","ENSPTRG00000035349","RF00001","RNA, 5S ribosomal pseudogene 344 [Source:HGNC Symbol;Acc:HGNC:43244]"
"163",NA,"","ENSPTRG00000032809","RF00026","RNA, U6 small nuclear 205, pseudogene [Source:HGNC Symbol;Acc:HGNC:47168]"
"164",NA,"","ENSPTRG00000052086","RF00026",""
"165",NA,"","ENSPTRG00000051622","",""
"166",NA,"","ENSPTRG00000047741","",""
"167",NA,"","ENSPTRG00000037083","RF00001","RNA, 5S ribosomal pseudogene 220 [Source:HGNC Symbol;Acc:HGNC:43120]"
"168",NA,"","ENSPTRG00000049003","",""
"169",NA,"","ENSPTRG00000051090","",""
"170",464642,"G2HJP5","ENSPTRG00000021232","ACTL7A","actin like 7A [Source:VGNC Symbol;Acc:VGNC:4598]"
"171",NA,"","ENSPTRG00000035893","RF00100",""
"172",471664,"","ENSPTRG00000028558","PCDHB9","protocadherin beta-9 precursor  [Source:RefSeq peptide;Acc:NP_001013033]"
"173",NA,"","ENSPTRG00000049343","RF00017",""
"174",NA,"","ENSPTRG00000040389","",""
"175",746013,"","ENSPTRG00000044662","",""
"176",NA,"","ENSPTRG00000049758","RF00026","RNA, U6 small nuclear 1227, pseudogene [Source:HGNC Symbol;Acc:HGNC:48190]"
"177",NA,"","ENSPTRG00000026478","RF00001","RNA, 5S ribosomal pseudogene 128 [Source:HGNC Symbol;Acc:HGNC:43028]"
"178",NA,"","ENSPTRG00000037103","RF00026","RNA, U6 small nuclear 1110, pseudogene [Source:HGNC Symbol;Acc:HGNC:48073]"
"179",467108,"","ENSPTRG00000005348","SLC5A8","solute carrier family 5 member 8 [Source:VGNC Symbol;Acc:VGNC:13449]"
"180",NA,"","ENSPTRG00000035594","RF00001","RNA, 5S ribosomal pseudogene 256 [Source:HGNC Symbol;Acc:HGNC:43156]"
"181",NA,"","ENSPTRG00000036013","RF00100",""
"182",NA,"","ENSPTRG00000049423","RF00017",""
"183",NA,"","ENSPTRG00000049641","",""
"184",NA,"","ENSPTRG00000051744","MIR6865","microRNA 6865 [Source:HGNC Symbol;Acc:HGNC:50182]"
"185",NA,"","ENSPTRG00000046225","RF00026","RNA, U6 small nuclear 774, pseudogene [Source:HGNC Symbol;Acc:HGNC:47737]"
"186",NA,"","ENSPTRG00000048072","RF00026","RNA, U6 small nuclear 379, pseudogene [Source:HGNC Symbol;Acc:HGNC:47342]"
"187",NA,"","ENSPTRG00000051579","",""
"188",742558,"","ENSPTRG00000042855","",""
"189",461908,"H2QQS9","ENSPTRG00000016810","OSMR","oncostatin M receptor [Source:VGNC Symbol;Acc:VGNC:4111]"
"190",NA,"","ENSPTRG00000036759","RF00201",""
"191",460740,"K7CDJ0","ENSPTRG00000030108","ZBTB38","zinc finger and BTB domain containing 38 [Source:VGNC Symbol;Acc:VGNC:12245]"
"192",NA,"","ENSPTRG00000031645","RF00001",""
"193",NA,"","ENSPTRG00000036030","RF00100","RNA, 7SK small nuclear pseudogene 143 [Source:HGNC Symbol;Acc:HGNC:45867]"
"194",NA,"","ENSPTRG00000052616","",""
"195",NA,"","ENSPTRG00000044077","RF00026","RNA, U6 small nuclear 589, pseudogene [Source:HGNC Symbol;Acc:HGNC:47552]"
"196",NA,"","ENSPTRG00000025886","RF00026","RNA, U6 small nuclear 1195, pseudogene [Source:HGNC Symbol;Acc:HGNC:48158]"
"197",NA,"","ENSPTRG00000038793","RF00017","RNA, 7SL, cytoplasmic 571, pseudogene [Source:HGNC Symbol;Acc:HGNC:46587]"
"198",NA,"","ENSPTRG00000050108","",""
"199",464546,"","ENSPTRG00000021048","TLE1","transducin like enhancer of split 1 [Source:VGNC Symbol;Acc:VGNC:8940]"
"200",NA,"","ENSPTRG00000044392","",""
"201",NA,"","ENSPTRG00000044706","RF01968",""
"202",NA,"","ENSPTRG00000051340","RF00001",""
"203",NA,"","ENSPTRG00000025684","RF00100","RNA, 7SK small nuclear pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:45762]"
"204",462608,"","ENSPTRG00000023212","",""
"205",NA,"","ENSPTRG00000046281","",""
"206",NA,"","ENSPTRG00000046051","RF00026","RNA, U6 small nuclear 726, pseudogene [Source:HGNC Symbol;Acc:HGNC:47689]"
"207",NA,"","ENSPTRG00000046490","",""
"208",NA,"","ENSPTRG00000048019","RF00017","RNA, 7SL, cytoplasmic 192, pseudogene [Source:HGNC Symbol;Acc:HGNC:46208]"
"209",NA,"","ENSPTRG00000051652","RF00026",""
"210",NA,"","ENSPTRG00000048561","",""
"211",NA,"","ENSPTRG00000032875","RF00586",""
"212",NA,"","ENSPTRG00000047435","",""
"213",NA,"","ENSPTRG00000038110","RF00001","RNA, 5S ribosomal pseudogene 102 [Source:HGNC Symbol;Acc:HGNC:42900]"
"214",NA,"","ENSPTRG00000040207","MIR4743","microRNA 4743 [Source:HGNC Symbol;Acc:HGNC:41894]"
"215",NA,"","ENSPTRG00000036933","RF00100","RNA, 7SK small nuclear pseudogene 299 [Source:HGNC Symbol;Acc:HGNC:46023]"
"216",NA,"","ENSPTRG00000050704","RF00026",""
"217",NA,"","ENSPTRG00000043261","RF02136",""
"218",NA,"","ENSPTRG00000040446","RF00017","RNA, 7SL, cytoplasmic 152, pseudogene [Source:HGNC Symbol;Acc:HGNC:46168]"
"219",100612726,"","ENSPTRG00000049400","PRR9","proline rich 9 [Source:HGNC Symbol;Acc:HGNC:32057]"
"220",474095,"","ENSPTRG00000013870","DNAJC28","DnaJ heat shock protein family (Hsp40) member C28 [Source:VGNC Symbol;Acc:VGNC:14660]"
"221",744096,"K7D2B7","ENSPTRG00000003573","MTCH2","mitochondrial carrier 2 [Source:VGNC Symbol;Acc:VGNC:3104]"
"222",744096,"K7CMR9","ENSPTRG00000003573","MTCH2","mitochondrial carrier 2 [Source:VGNC Symbol;Acc:VGNC:3104]"
"223",NA,"","ENSPTRG00000025027","RF00026","RNA, U6 small nuclear 1278, pseudogene [Source:HGNC Symbol;Acc:HGNC:48241]"
"224",NA,"","ENSPTRG00000026297","RF00001","RNA, 5S ribosomal pseudogene 113 [Source:HGNC Symbol;Acc:HGNC:42911]"
"225",NA,"","ENSPTRG00000043843","RF00017",""
"226",NA,"","ENSPTRG00000033098","RF00586","small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]"
"227",NA,"","ENSPTRG00000037768","RF00100","RNA, 7SK small nuclear pseudogene 276 [Source:HGNC Symbol;Acc:HGNC:46000]"
"228",NA,"","ENSPTRG00000043202","",""
"229",NA,"","ENSPTRG00000027639","ptr-mir-326","ptr-mir-326 [Source:miRBase;Acc:MI0008617]"
"230",NA,"","ENSPTRG00000038322","RF00026","RNA, U6 small nuclear 856, pseudogene [Source:HGNC Symbol;Acc:HGNC:47819]"
"231",468476,"H2RHY0","ENSPTRG00000046336","RAB31","RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]"
"232",NA,"","ENSPTRG00000050541","MIR493","microRNA 493 [Source:HGNC Symbol;Acc:HGNC:32082]"
"233",NA,"","ENSPTRG00000032804","RF00586",""
"234",746513,"H2R8P6","ENSPTRG00000050454","HIST2H2BE","histone cluster 2 H2B family member e [Source:HGNC Symbol;Acc:HGNC:4760]"
"235",NA,"","ENSPTRG00000038234","RF00001","RNA, 5S ribosomal pseudogene 462 [Source:HGNC Symbol;Acc:HGNC:43362]"
"236",NA,"","ENSPTRG00000032055","RF00026",""
"237",NA,"","ENSPTRG00000036594","RF00100","RNA, 7SK small nuclear pseudogene 236 [Source:HGNC Symbol;Acc:HGNC:45960]"
"238",NA,"","ENSPTRG00000039361","RF00017","RNA, 7SL, cytoplasmic 586, pseudogene [Source:HGNC Symbol;Acc:HGNC:46602]"
"239",NA,"","ENSPTRG00000027708","ptr-mir-33a","ptr-mir-33a [Source:miRBase;Acc:MI0002685]"
"240",NA,"","ENSPTRG00000046332","RF02275",""
"241",NA,"","ENSPTRG00000047432","",""
"242",NA,"","ENSPTRG00000038175","RF00001","RNA, 5S ribosomal pseudogene 423 [Source:HGNC Symbol;Acc:HGNC:43323]"
"243",NA,"","ENSPTRG00000038634","RF00004","RNA, U2 small nuclear 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:48503]"
"244",NA,"","ENSPTRG00000051143","",""
"245",NA,"","ENSPTRG00000037771","RF00026","RNA, U6 small nuclear 182, pseudogene [Source:HGNC Symbol;Acc:HGNC:47145]"
"246",NA,"","ENSPTRG00000043874","RF00017",""
"247",NA,"","ENSPTRG00000026008","RF00092",""
"248",449495,"","ENSPTRG00000038881","PRKY","serine/threonine-protein kinase PRKX  [Source:RefSeq peptide;Acc:NP_001180591]"
"249",NA,"","ENSPTRG00000026980","RF00026","RNA, U6 small nuclear 520, pseudogene [Source:HGNC Symbol;Acc:HGNC:47483]"
"250",NA,"","ENSPTRG00000024749","RF00001","RNA, 5S ribosomal pseudogene 124 [Source:HGNC Symbol;Acc:HGNC:43024]"
"251",NA,"","ENSPTRG00000032306","ptr-mir-576","ptr-mir-576 [Source:miRBase;Acc:MI0008787]"
"252",NA,"","ENSPTRG00000050271","RF00017",""
"253",NA,"","ENSPTRG00000036501","RF00004","RNA, U2 small nuclear 51, pseudogene [Source:HGNC Symbol;Acc:HGNC:48544]"
"254",NA,"","ENSPTRG00000043541","",""
"255",NA,"","ENSPTRG00000044369","RF00026","RNA, U6 small nuclear 449, pseudogene [Source:HGNC Symbol;Acc:HGNC:47412]"
"256",NA,"","ENSPTRG00000024674","RF00092",""
"257",NA,"","ENSPTRG00000027927","ptr-mir-577","ptr-mir-577 [Source:miRBase;Acc:MI0008788]"
"258",NA,"","ENSPTRG00000048673","MIR6070","microRNA 6070 [Source:HGNC Symbol;Acc:HGNC:49950]"
"259",NA,"","ENSPTRG00000045268","RF00026","RNA, U6 small nuclear 595, pseudogene [Source:HGNC Symbol;Acc:HGNC:47558]"
"260",NA,"","ENSPTRG00000033107","RF00092",""
"261",NA,"","ENSPTRG00000037842","RF00049",""
"262",NA,"","ENSPTRG00000036446","RF00004",""
"263",NA,"","ENSPTRG00000039906","RF00017","RNA, 7SL, cytoplasmic 230, pseudogene [Source:HGNC Symbol;Acc:HGNC:46246]"
"264",NA,"","ENSPTRG00000025001","RF00001","RNA, 5S ribosomal pseudogene 140 [Source:HGNC Symbol;Acc:HGNC:43040]"
"265",454551,"","ENSPTRG00000008955","SSH2","slingshot protein phosphatase 2 [Source:VGNC Symbol;Acc:VGNC:12698]"
"266",NA,"","ENSPTRG00000027593","ptr-mir-369","ptr-mir-369 [Source:miRBase;Acc:MI0008639]"
"267",NA,"","ENSPTRG00000035153","ptr-mir-1263","ptr-mir-1263 [Source:miRBase;Acc:MI0008467]"
"268",NA,"","ENSPTRG00000032937","RF00026","RNA, U6 small nuclear 234, pseudogene [Source:HGNC Symbol;Acc:HGNC:47197]"
"269",NA,"","ENSPTRG00000036375","RF00004",""
"270",NA,"","ENSPTRG00000027005","RF00092",""
"271",NA,"","ENSPTRG00000037158","RF00001","RNA, 5S ribosomal pseudogene 76 [Source:HGNC Symbol;Acc:HGNC:42853]"
"272",NA,"","ENSPTRG00000035480","RF00026","RNA, U6 small nuclear 908, pseudogene [Source:HGNC Symbol;Acc:HGNC:47871]"
"273",NA,"","ENSPTRG00000026508","RF00413","small nucleolar RNA, H/ACA box 19 [Source:HGNC Symbol;Acc:HGNC:32609]"
"274",NA,"","ENSPTRG00000041059","RF00017",""
"275",NA,"","ENSPTRG00000032361","",""
"276",NA,"","ENSPTRG00000038653","MIR4519","microRNA 4519 [Source:HGNC Symbol;Acc:HGNC:41544]"
"277",NA,"","ENSPTRG00000027146","RF00092",""
"278",NA,"","ENSPTRG00000036090","RF00001","RNA, 5S ribosomal pseudogene 261 [Source:HGNC Symbol;Acc:HGNC:43161]"
